Liverpool South Parkway,d,-,-,-,-,-,-,-,-,-,-
Liverpool Lime Street, ,0532,0600,0632,0657,0700,0732,0757,0800,0828,0832
Edge Hill, ,0536,0604,0636,-,0704,0736,-,0804,-,0836
Wavertree Technology Park, ,0538,0606,0638,-,0706,0738,-,0806,-,0838
Broad Green, ,0541,0609,0641,-,0709,0741,-,0809,-,0841
Roby, ,0545,0613,0645,-,0713,0745,-,0813,-,0845
Huyton, ,0547,0615,0647,0708,0715,0747,0806,0815,0840,0847
Prescot, ,0552,0620,0652,-,0720,0752,-,0820,-,0852
Eccleston Park, ,0554,0662,0654,-,0722,0754,-,0822,-,0854
Thatto Health, ,0557,0625,0657,-,0725,0757,-,0825,-,0857
St Helens Central,a,0600,0628,0700,0716,0728,0800,0815,0828,0849,0900
Garswood, ,0608,0636,0708,-,0736,0808,-,0836,-,0908
Bryn, ,0611,0639,0711,-,0739,0811,-,0839,-,0911
Wigan North Western,a,0622,0650,0722,0730,0750,0822,0830,0850,0903,0922
Euxton Balshaw Lane, ,-,-,-,0741,-,-,0841,-,0914,-
Leyland, ,-,-,-,0746,-,-,0846,-,0919,-
Preston,a,-,-,-,0755,-,-,0858,-,0927,-
Kirkham & Wesham, ,-,-,-,-,-,-,0909,-,-,-
Poulton-le-Fylde, ,-,-,-,-,-,-,0918,-,-,-
Blackpool North, ,-,-,-,-,-,-,0926,-,-,-
